client,local accuracy
client0,0.6631579399108887
client1,0.6759259104728699
client2,0.62890625
client3,0.7692307829856873
client4,0.6296296119689941
client5,0.6071428656578064
client6,0.76953125
client7,0.5859375
client8,0.6086856722831726
client9,0.41999998688697815
client10,0.529411792755127
client11,0.5824176073074341
client12,0.5656565427780151
client13,0.84375
client14,0.4587155878543854
client15,0.7623981237411499
client16,0.7222222089767456
client17,0.41600000858306885
client18,0.5199999809265137
client19,0.714930534362793
client20,0.6969866156578064
client21,0.7549999952316284
client22,0.699999988079071
client23,0.7037037014961243
client24,0.7333333492279053
client25,0.5684210658073425
client26,0.5636363625526428
client27,0.5151515007019043
client28,0.7358490824699402
client29,0.5882353186607361
client30,0.6184210777282715
client31,0.5677965879440308
client32,0.75
client33,0.5416666865348816
client34,0.5899999737739563
client35,0.6162790656089783
client36,0.45000001788139343
client37,0.582524299621582
client38,0.485714316368103
client39,0.5288461446762085
client40,0.6739130616188049
client41,0.6612902879714966
client42,0.5866667032241821
client43,0.6304348111152649
client44,0.6470588445663452
client45,0.6171875
client46,0.4625000059604645
client47,0.5480769276618958
client48,0.7079645991325378
client49,0.782608687877655
client50,0.7425426244735718
client51,0.5393258333206177
client52,0.8110235929489136
client53,0.4471544623374939
client54,0.5609756112098694
client55,0.5494505763053894
client56,0.5272727012634277
client57,0.5
client58,0.5365853309631348
client59,0.6599999666213989
client60,0.5083333849906921
client61,0.483146071434021
client62,0.3861386179924011
client63,0.5316840410232544
client64,0.6018518805503845
client65,0.7111111283302307
client66,0.5094339847564697
client67,0.5600000023841858
client68,0.743990421295166
client69,0.7890625
client70,0.5
client71,0.5922330021858215
client72,0.7213114500045776
client73,0.3861386179924011
client74,0.61328125
client75,0.5630252361297607
client76,0.7981771230697632
client77,0.530434787273407
client78,0.7500000596046448
client79,0.8125
client80,0.6565656661987305
client81,0.4727272689342499
client82,0.7085937261581421
client83,0.6666666865348816
client84,0.5189873576164246
client85,0.5670102834701538
client86,0.6666666865348816
client87,0.4888888895511627
client88,0.4336283206939697
client89,0.75
client90,0.6235294342041016
client91,0.5408163070678711
client92,0.5714285969734192
client93,0.21875
client94,1.0
client95,0.5909091234207153
client96,0.8359375
client97,0.76953125
client98,0.6491228342056274
client99,0.4888888895511627
client100,0.6363636255264282
client101,0.6590909361839294
client102,0.5520833730697632
client103,0.6117647290229797
client104,0.5208333730697632
client105,0.6382978558540344
client106,0.5789473652839661
client107,0.4260869324207306
client108,0.6063829660415649
client109,0.7032108306884766
client110,0.7115384936332703
client111,0.44859811663627625
client112,0.6953125
client113,0.5
client114,0.7684152126312256
client115,0.5783132314682007
client116,0.7232812643051147
client117,0.5535714626312256
client118,0.6538462042808533
client119,0.4811320900917053
client120,0.5045871138572693
client121,0.6538462042808533
client122,0.44859811663627625
client123,0.42718446254730225
client124,0.5744680762290955
client125,0.593406617641449
client126,0.5858585834503174
client127,0.5769230723381042
client128,0.4913793206214905
client129,0.4453781843185425
client130,0.6296296119689941
client131,0.9280000329017639
client132,0.5922330021858215
client133,0.5090909004211426
