client,global accuracy
client0,0.3509964942932129
client1,0.21919842064380646
client2,0.19151785969734192
client3,0.25104233622550964
client4,0.2786491811275482
client5,0.342372864484787
client6,0.2311224490404129
client7,0.34129664301872253
client8,0.1929667592048645
client9,0.2766900658607483
client10,0.19102360308170319
client11,0.2935427129268646
client12,0.2898098826408386
client13,0.19044363498687744
client14,0.28210100531578064
client15,0.2876155972480774
client16,0.2846998870372772
client17,0.2787388265132904
client18,0.3952646851539612
client19,0.28329479694366455
client20,0.31843313574790955
client21,0.3511858284473419
client22,0.23343829810619354
client23,0.18703363835811615
client24,0.27776825428009033
client25,0.29072266817092896
client26,0.4536411762237549
client27,0.23251354694366455
client28,0.3343849778175354
client29,0.1814313679933548
client30,0.16091160476207733
client31,0.27060946822166443
client32,0.21596181392669678
client33,0.2933255136013031
client34,0.34647640585899353
client35,0.22497211396694183
client36,0.23831911385059357
client37,0.2713030278682709
client38,0.2314532846212387
client39,0.34288904070854187
client40,0.21486368775367737
client41,0.30363520979881287
client42,0.21571867167949677
client43,0.2858259081840515
client44,0.2854512333869934
client45,0.18804608285427094
client46,0.09962930530309677
client47,0.21875996887683868
client48,0.09971898794174194
client49,0.19788743555545807
client50,0.36224690079689026
client51,0.14646045863628387
client52,0.2908841073513031
client53,0.3112424314022064
client54,0.4056062698364258
client55,0.18916015326976776
client56,0.3265824317932129
client57,0.19523677229881287
client58,0.2976064383983612
client59,0.20873324573040009
client60,0.3026446998119354
client61,0.2957868278026581
client62,0.22057758271694183
client63,0.19935427606105804
client64,0.32858139276504517
client65,0.22150230407714844
client66,0.10004782676696777
client67,0.19006098806858063
client68,0.27685150504112244
client69,0.3289341628551483
client70,0.3169722557067871
client71,0.4617745578289032
client72,0.2874043583869934
client73,0.26001474261283875
client74,0.39016661047935486
client75,0.20378665626049042
client76,0.34256815910339355
client77,0.2828384339809418
client78,0.230171799659729
client79,0.2907266318798065
client80,0.10445830971002579
client81,0.14866070449352264
client82,0.22921517491340637
client83,0.1920679211616516
client84,0.18995535373687744
client85,0.2803770899772644
client86,0.1652662605047226
client87,0.26325735449790955
client88,0.28402623534202576
client89,0.17479871213436127
client90,0.2056540995836258
client91,0.3580337464809418
client92,0.3282724916934967
client93,0.2915138900279999
client94,0.20310108363628387
client95,0.35117387771606445
client96,0.2746133506298065
client97,0.2965103089809418
client98,0.09962930530309677
client99,0.35511401295661926
client100,0.33903658390045166
client101,0.3404017984867096
client102,0.35773277282714844
client103,0.19504742324352264
client104,0.1934550404548645
client105,0.26618704199790955
client106,0.28266701102256775
client107,0.18550103902816772
client108,0.32291731238365173
client109,0.19105349481105804
client110,0.18198542296886444
client111,0.3765266239643097
client112,0.26849091053009033
client113,0.3275769352912903
client114,0.1993144154548645
client115,0.24215760827064514
client116,0.2733059823513031
client117,0.233834907412529
client118,0.1968650370836258
client119,0.20848813652992249
client120,0.2799167037010193
client121,0.35111409425735474
client122,0.1833924502134323
client123,0.31883570551872253
client124,0.19709821045398712
client125,0.3131955564022064
client126,0.21109294891357422
client127,0.24215960502624512
client128,0.3573939800262451
client129,0.1928531527519226
client130,0.2751096189022064
client131,0.31044721603393555
client132,0.27909359335899353
client133,0.1695113182067871
client134,0.30736207962036133
client135,0.379779189825058
client136,0.21781527996063232
client137,0.2947285771369934
client138,0.20986726880073547
client139,0.28201529383659363
client140,0.1974748820066452
client141,0.278111070394516
client142,0.2871333062648773
client143,0.34965720772743225
client144,0.2651387155056
client145,0.31233659386634827
client146,0.2853754758834839
client147,0.17077088356018066
client148,0.28092512488365173
client149,0.17080476880073547
client150,0.34527063369750977
client151,0.25318679213523865
client152,0.19775989651679993
client153,0.2880520522594452
client154,0.25535714626312256
client155,0.10022719949483871
client156,0.19897161424160004
client157,0.19861488044261932
client158,0.2897859513759613
client159,0.26759806275367737
client160,0.4080038070678711
client161,0.31891342997550964
client162,0.3278220593929291
client163,0.2680564522743225
client164,0.24472656846046448
client165,0.3514070510864258
client166,0.1763472557067871
client167,0.20606665313243866
client168,0.2914082705974579
client169,0.2676977217197418
client170,0.22421477735042572
client171,0.21979033946990967
client172,0.29343709349632263
client173,0.18410196900367737
client174,0.23299185931682587
client175,0.1896185427904129
client176,0.3920121192932129
client177,0.20332030951976776
client178,0.1605747789144516
client179,0.13291016221046448
client180,0.26178452372550964
client181,0.20472338795661926
client182,0.19456911087036133
client183,0.26502910256385803
client184,0.2670639455318451
client185,0.18996930122375488
client186,0.2573760449886322
client187,0.2792171537876129
client188,0.2895447909832001
client189,0.28917011618614197
client190,0.30469149351119995
client191,0.2159518450498581
client192,0.19935427606105804
client193,0.36449897289276123
client194,0.25620415806770325
client195,0.2508171498775482
client196,0.27631935477256775
client197,0.1982421875
client198,0.26553332805633545
client199,0.19906727969646454
client200,0.19090202450752258
client201,0.22965362668037415
client202,0.18975208699703217
client203,0.3092913031578064
client204,0.1919383853673935
client205,0.2698601186275482
client206,0.3681959807872772
client207,0.26870018243789673
client208,0.2939692437648773
client209,0.2885303795337677
client210,0.3095643222332001
client211,0.31165099143981934
client212,0.28080955147743225
client213,0.2715800404548645
client214,0.29903340339660645
client215,0.14684909582138062
client216,0.40946468710899353
client217,0.3057756721973419
client218,0.2711615264415741
client219,0.2922791838645935
client220,0.37057557702064514
client221,0.2801797688007355
client222,0.22709663212299347
client223,0.26741668581962585
client224,0.10004782676696777
client225,0.3580775856971741
client226,0.3367586135864258
client227,0.2941446006298065
client228,0.2267976850271225
client229,0.19950374960899353
client230,0.34099769592285156
client231,0.2524693012237549
client232,0.2762874662876129
client233,0.20806561410427094
client234,0.3116210997104645
client235,0.3092016279697418
client236,0.2526785731315613
client237,0.2957130968570709
client238,0.2829221189022064
client239,0.2628447711467743
client240,0.3778858482837677
client241,0.21618501842021942
client242,0.25786033272743225
client243,0.37709662318229675
client244,0.23135963082313538
client245,0.2111826390028
client246,0.2177475243806839
client247,0.27377432584762573
client248,0.19897760450839996
client249,0.20969586074352264
client250,0.28636202216148376
client251,0.3823919892311096
client252,0.22050383687019348
client253,0.2942681908607483
client254,0.2846699655056
client255,0.332712858915329
client256,0.1989496946334839
client257,0.38420161604881287
client258,0.3404795229434967
client259,0.2706652581691742
client260,0.21170082688331604
client261,0.12784598767757416
client262,0.20611248910427094
client263,0.23629823327064514
client264,0.2633250951766968
client265,0.3232401907444
client266,0.25957629084587097
client267,0.23982980847358704
client268,0.33296796679496765
client269,0.4108358323574066
client270,0.2561842203140259
client271,0.2933852970600128
client272,0.18585579097270966
client273,0.3088807463645935
client274,0.2367287129163742
client275,0.3736906051635742
client276,0.2749123275279999
client277,0.4345962107181549
client278,0.18651346862316132
client279,0.1987663358449936
client280,0.17445392906665802
client281,0.2456134408712387
client282,0.35338208079338074
client283,0.25942084193229675
client284,0.1906748265028
client285,0.20964205265045166
client286,0.09986846894025803
client287,0.19576889276504517
client288,0.29203206300735474
client289,0.20909400284290314
client290,0.301652193069458
client291,0.3391202986240387
client292,0.19185666739940643
client293,0.35201093554496765
client294,0.3310806155204773
client295,0.47529497742652893
client296,0.39385363459587097
client297,0.33511438965797424
client298,0.2622349262237549
client299,0.3829261064529419
client300,0.2035873681306839
client301,0.25095662474632263
client302,0.32397958636283875
client303,0.3542390763759613
client304,0.37440210580825806
client305,0.3667231500148773
client306,0.32656848430633545
client307,0.29230308532714844
client308,0.19577686488628387
client309,0.1577487289905548
client310,0.18900270760059357
client311,0.3487284779548645
client312,0.35721659660339355
client313,0.20509207248687744
client314,0.258195161819458
client315,0.33625438809394836
client316,0.3685567080974579
client317,0.29218950867652893
client318,0.21487562358379364
client319,0.1362663358449936
client320,0.19151785969734192
client321,0.20827487111091614
client322,0.2707968056201935
client323,0.3159458637237549
client324,0.3378368318080902
client325,0.18962453305721283
client326,0.3486507534980774
client327,0.1993762105703354
client328,0.3794024884700775
client329,0.3128467798233032
client330,0.29296478629112244
client331,0.2920958399772644
client332,0.19196827709674835
client333,0.2382214516401291
client334,0.33499881625175476
client335,0.3020986020565033
client336,0.32786592841148376
client337,0.2041194885969162
client338,0.19264787435531616
client339,0.2009008377790451
client340,0.15859773755073547
client341,0.36462852358818054
client342,0.3277084529399872
client343,0.2647720277309418
client344,0.3197464942932129
client345,0.1798868030309677
client346,0.3514409363269806
client347,0.2885682284832001
client348,0.4001096189022064
client349,0.2801179885864258
client350,0.2913743555545807
client351,0.26657766103744507
client352,0.27604830265045166
client353,0.24003906548023224
client354,0.27318838238716125
client355,0.19993023574352264
client356,0.2748525142669678
client357,0.19957152009010315
client358,0.3235909640789032
client359,0.2945571839809418
client360,0.3659578263759613
client361,0.2813436686992645
client362,0.36434152722358704
client363,0.290336012840271
client364,0.20159240067005157
client365,0.2254464477300644
client366,0.26157525181770325
client367,0.37306880950927734
client368,0.2039720118045807
client369,0.347849577665329
client370,0.3240812420845032
client371,0.3639070689678192
client372,0.1463090032339096
client373,0.29000717401504517
client374,0.27891620993614197
client375,0.21658363938331604
client376,0.29675742983818054
client377,0.17853954434394836
client378,0.3677973449230194
client379,0.3304069936275482
client380,0.23777304589748383
client381,0.48186784982681274
client382,0.33941325545310974
client383,0.3689134120941162
client384,0.2705516517162323
client385,0.3579261004924774
client386,0.2767677903175354
client387,0.32289940118789673
client388,0.18748405575752258
client389,0.28315529227256775
client390,0.29596421122550964
client391,0.22021685540676117
client392,0.20082509517669678
client393,0.23343031108379364
client394,0.26176461577415466
client395,0.27956992387771606
client396,0.19944195449352264
client397,0.10040656477212906
client398,0.1677853912115097
client399,0.19255022704601288
client400,0.5103276371955872
client401,0.3040437698364258
client402,0.3829320967197418
client403,0.19484613835811615
client404,0.2892378866672516
client405,0.2915736734867096
client406,0.27987682819366455
client407,0.3427236080169678
client408,0.29133450984954834
client409,0.10674027353525162
client410,0.2787667214870453
client411,0.3097975254058838
client412,0.22046597301959991
client413,0.2901626527309418
client414,0.26927417516708374
client415,0.15018534660339355
client416,0.3918825685977936
client417,0.26953524351119995
client418,0.25827884674072266
client419,0.3564712405204773
client420,0.19874243438243866
client421,0.3019152581691742
client422,0.23621053993701935
client423,0.3096559941768646
client424,0.39925262331962585
client425,0.35993900895118713
client426,0.33095306158065796
client427,0.34214964509010315
client428,0.22390584647655487
client429,0.18992546200752258
client430,0.32196471095085144
client431,0.25561225414276123
client432,0.21540378034114838
client433,0.26380738615989685
client434,0.27030253410339355
client435,0.19083426892757416
client436,0.1291254758834839
client437,0.19420640170574188
client438,0.19494380056858063
client439,0.4427514970302582
client440,0.20890067517757416
client441,0.18114836513996124
client442,0.17874880135059357
client443,0.2653559446334839
client444,0.29033800959587097
client445,0.19474849104881287
client446,0.30442044138908386
client447,0.2024792730808258
client448,0.102836012840271
client449,0.09971898794174194
client450,0.1306840032339096
client451,0.2544463574886322
client452,0.26131418347358704
client453,0.22443199157714844
client454,0.2535375654697418
client455,0.3224210739135742
client456,0.20300941169261932
client457,0.3508569896221161
client458,0.1908043622970581
client459,0.2066386193037033
client460,0.24797514081001282
client461,0.2285415381193161
client462,0.24135641753673553
client463,0.36296436190605164
client464,0.10291174799203873
client465,0.1744897961616516
client466,0.28144532442092896
client467,0.19394531846046448
client468,0.10109015554189682
client469,0.16090361773967743
client470,0.24262595176696777
client471,0.35904616117477417
client472,0.2205994874238968
client473,0.28151509165763855
client474,0.27514150738716125
client475,0.4274135231971741
client476,0.3037388324737549
client477,0.34259605407714844
client478,0.35134726762771606
client479,0.19957152009010315
client480,0.3536551296710968
client481,0.25002989172935486
client482,0.29100167751312256
client483,0.22201251983642578
client484,0.27092036604881287
client485,0.2716338336467743
client486,0.25052016973495483
client487,0.3760204017162323
client488,0.19356267154216766
client489,0.3043307662010193
client490,0.2869778573513031
client491,0.27349528670310974
client492,0.34477439522743225
client493,0.19324178993701935
client494,0.25440847873687744
client495,0.18673470616340637
client496,0.28265902400016785
client497,0.2912786900997162
client498,0.3542390763759613
client499,0.25091078877449036
